filename,width,height,class,xmin,ymin,xmax,ymax
bild 104.jpg,299,168,mask_weared_incorrect,129,34,177,91
Bild 18_rotated_-20_to_-7.jpg,300,168,mask_weared_incorrect,83,1,299,168
maksssksksss299.jpg,301,400,without_mask,62,194,160,320
Bild 2_zoom.jpg,275,183,mask_weared_incorrect,73,56,93,79
Bild 2_zoom.jpg,275,183,mask_weared_incorrect,126,61,152,83
Bild 2_zoom.jpg,275,183,mask_weared_incorrect,184,58,212,84
Bild 2_zoom.jpg,275,183,mask_weared_incorrect,62,107,87,135
Bild 2_zoom.jpg,275,183,mask_weared_incorrect,121,107,151,138
Bild 2_zoom.jpg,275,183,mask_weared_incorrect,189,110,212,132
bild 80.jpg,636,382,with_mask,27,99,57,120
bild 80.jpg,636,382,with_mask,1,116,18,133
bild 80.jpg,636,382,with_mask,59,84,82,106
bild 80.jpg,636,382,with_mask,104,65,143,98
bild 80.jpg,636,382,with_mask,259,45,288,76
bild 80.jpg,636,382,with_mask,213,92,222,105
bild 80.jpg,636,382,with_mask,382,94,397,109
bild 80.jpg,636,382,with_mask,398,106,420,127
bild 80.jpg,636,382,with_mask,307,83,347,128
bild 80.jpg,636,382,with_mask,569,19,605,61
bild 80.jpg,636,382,with_mask,354,105,367,121
bild 80.jpg,636,382,mask_weared_incorrect,434,69,455,100
bild 80.jpg,636,382,with_mask,169,98,196,121
bild 94.jpg,259,194,mask_weared_incorrect,14,62,115,192
bild 94.jpg,259,194,mask_weared_incorrect,139,49,250,193
maksssksksss618_rotated_7_to_20.jpg,301,400,without_mask,101,166,216,306
business-people-outbreak-.jpg,1100,619,with_mask,134,401,280,551
business-people-outbreak-.jpg,1100,619,with_mask,71,223,191,335
business-people-outbreak-.jpg,1100,619,with_mask,200,131,279,212
business-people-outbreak-.jpg,1100,619,with_mask,375,115,446,201
business-people-outbreak-.jpg,1100,619,with_mask,512,142,603,235
business-people-outbreak-.jpg,1100,619,without_mask,620,128,682,192
business-people-outbreak-.jpg,1100,619,with_mask,784,96,884,194
business-people-outbreak-.jpg,1100,619,with_mask,996,87,1091,198
young-beautiful-woman-dressed-in-doctors-coat-and-red-necklace-facial-H05213_zoom.jpg,1300,950,mask_weared_incorrect,457,287,656,518
maksssksksss52_rotated_-20_to_-7.jpg,400,225,without_mask,61,199,121,259
maksssksksss52_rotated_-20_to_-7.jpg,400,225,without_mask,17,163,65,206
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,1,129,39,160
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,32,105,78,153
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,69,104,90,127
maksssksksss52_rotated_-20_to_-7.jpg,400,225,without_mask,85,98,133,146
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,126,143,182,198
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,168,131,211,172
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,211,100,277,165
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,183,83,209,120
maksssksksss52_rotated_-20_to_-7.jpg,400,225,without_mask,120,82,154,119
maksssksksss52_rotated_-20_to_-7.jpg,400,225,mask_weared_incorrect,153,61,188,96
maksssksksss52_rotated_-20_to_-7.jpg,400,225,without_mask,201,40,233,72
maksssksksss52_rotated_-20_to_-7.jpg,400,225,without_mask,55,67,83,94
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,46,78,66,101
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,21,71,43,92
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,-13,91,17,124
maksssksksss52_rotated_-20_to_-7.jpg,400,225,mask_weared_incorrect,8,90,27,111
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,46,46,60,59
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,71,56,83,69
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,78,64,101,87
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,143,72,166,98
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,126,58,145,75
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,106,53,124,70
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,120,45,140,63
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,100,31,113,45
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,88,39,95,49
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,126,29,138,42
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,133,34,148,48
maksssksksss52_rotated_-20_to_-7.jpg,400,225,without_mask,157,24,177,45
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,174,36,197,62
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,176,53,198,77
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,172,8,181,21
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,195,3,206,15
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,215,-9,229,5
maksssksksss52_rotated_-20_to_-7.jpg,400,225,mask_weared_incorrect,226,12,249,34
maksssksksss52_rotated_-20_to_-7.jpg,400,225,without_mask,225,37,241,60
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,245,50,276,79
maksssksksss52_rotated_-20_to_-7.jpg,400,225,with_mask,242,12,258,31
